mass_A
t	x	y
1.900000000E-1	9.886166146E-2	5.912049947E-1
1.800000000E-1	9.158193484E-2	5.959675209E-1
1.700000000E-1	8.358284976E-2	6.009775617E-1
2.040000000E0	1.570950513E-2	6.051553516E-1
2.050000000E0	1.591739020E-2	6.051553516E-1
1.600000000E-1	7.638168171E-2	6.057816357E-1
1.500000000E-1	6.857873701E-2	6.105160884E-1
1.400000000E-1	6.039295085E-2	6.153672184E-1
1.300000000E-1	5.533086036E-2	6.189555769E-1
1.200000000E-1	5.061905185E-2	6.225644797E-1
1.100000000E-1	4.562989456E-2	6.261733099E-1
1.000000000E-1	3.981713527E-2	6.298001535E-1
9.000000000E-2	3.451458397E-2	6.334948274E-1
8.000000000E-2	2.874845590E-2	6.369799452E-1
7.000000000E-2	2.580779159E-2	6.395079742E-1
6.000000000E-2	1.972767381E-2	6.430823891E-1
5.000000000E-2	1.898744159E-2	6.442583207E-1
4.000000000E-2	1.506144406E-2	6.467887811E-1
3.000000000E-2	8.076259652E-3	6.501760794E-1
2.000000000E-2	6.386441009E-3	6.515922326E-1
1.000000000E-2	2.631667486E-3	6.539749674E-1
0.000000000E0	1.386929203E-3	6.553240482E-1
